\\bbuffer\\b
\\berp\\b
\\bfob\\b
\\bhub
\\bimport\\b
\\binput
\\blean\\b
\\bload\\b
\\boil\\b
\\border
\\bore\\b
\\bpath
\\bport[s]?\\b
\\bpower\\b
\\brig\\b
\\broot\\b
\\broute\\b
\\brouting\\b
\\bsampl
\\bscm\\b
\\bset[-\s]?up\\b
\\bSLA[s]?\\b
activit
arriv
assemb
assortm
backlog
batch
batter
booking
bottleneck
bound
capab
capaci
capex
carriage
carrier
chain
commodit
component
consignment
constrain
constrict
construct
container
control
costing
cycl
depot
destination
distrib
downtime
effici
energy
engineer
equipment
export
field
fill
fleet
flex
flow
freight
fuel
generat
haul
holding
idle
inventor
invoice
labor
load
logistic
maint
manufac
material
micro
mining
modal\\b
nano
operability
operable
operated
operation
optim
output
overhead
overtime
pallet
pareto
pipe
planning
power
predictiv
process
produce
producti
project
quality
raw material
refine
replenish
scheduling
shipment
shipp
sigma
sourcing
standardi
stock[-]?out
storage
supplie
supply
throughput
transmiss
transport
uptime
utilization
vessel
warehous
yield
